EVENT_ID,EVENT_TITLE,EVENT_STR_DT,EVENT_END_DT,MAP_X,MAP_Y,ADDRESS,CATEGORY,CODE_SQL
603884,남도음식문화큰잔치,20221007,20221009,127.7465197,34.75222511,전라남도 여수시 박람회길 1,A02070200,255
590921,제19회 평창대관령음악제,20220702,20220723,128.6685317,37.66091365,강원도 평창군 솔봉로 325 알펜시아 리조트,A02080900,155
590116,햇사레장호원복숭아축제,20220916,20220918,127.612268,37.117851,경기도 이천시 장호원읍 서동대로8759번길 117,A02070200,135
589386,부천국제만화축제,20220930,20221003,126.7422053,37.50825125,경기도 부천시 길주로 1,A02070100,120
589338,향수 옥천 포도 복숭아축제,20220729,20220731,127.5758078,36.30307166,충청북도 옥천군 옥천읍 관성로 53,A02070200,163
589170,거제 바다로 세계로 축제,20220729,20220731,128.7012592,34.83922394,경상남도 거제시 지세포해안로 15-44,A02070200,209
588175,포항국제불빛축제,20230526,20230528,129.3746289,36.01784288,경상북도 포항시 남구 해도동,A02070100,208
587847,하소백련축제,20220708,20220710,126.8487142,35.89164476,전라북도 김제시 청하면 대청리,A02070200,231
583161,고한 함백산 야생화축제,20220730,20220807,128.8544401,37.20128688,강원도 정선군 고한4길 46,A02070200,151
581040,전국해양스포츠제전,20230811,20230814,126.6836908,37.32111361,경기도 시흥시 거북섬로,A02070200,123
580049,밀양 공연예술축제,20220708,20220729,128.7046513,35.53346278,경상남도 밀양시 부북면 창밀로 3097-16,A02070200,215
577335,2023 수원연극축제 숲속의파티,20230520,20230521,126.9811903,37.26658076,경기도 수원시 권선구 서둔로 166,A02080200,122
574969,전주세계소리축제,20220916,20220925,127.139031,35.85407072,전라북도 전주시 덕진구 소리로 31 소리문화전당,A02070200,240
574285,김제지평선축제,20231005,20231009,126.8522869,35.75406327,전라북도 김제시 벽골제로 442,A02070100,231
574047,부여서동연꽃축제,20230713,20230716,126.9106404,36.27208571,충청남도 부여군 부여읍 동남리,A02070200,176
574014,목포항구축제,20221014,20221016,126.3841998,34.78204603,전라남도 목포시 해안로 182 목포항연안여객터미널,A02070100,250
573459,제34회 춘천인형극제,20220401,20221231,127.720232,37.92163763,강원도 춘천시 영서로 3017,A02080200,153
572668,제18회 제천국제음악영화제,20220811,20220816,128.2123746,37.13532118,충청북도 제천시 의병대로18길 1 TTC영화관,A02081100,165
